NAMESPACE                      DEPLOYMENT                                         CONTAINERS                CPU_REQ      CPU_LIM      MEM_REQ      MEM_LIM     
api                            ts                                                 ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts                                                 ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts                                                 ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts                                                 task-launch-log           1m           10m          6Mi          60Mi        
api                            ts                                                 task-process-log          1m           10m          6Mi          60Mi        
api                            ts                                                 ts-shoppingcart-log       10m          30m          20Mi         60Mi        
api                            ts-consumer                                        app                       1            4            2200Mi       2200Mi      
api                            ts-consumer                                        ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-consumer                                        ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-consumer                                        ts-access-log             2m           20m          6Mi          60Mi        
api                            ts-consumer                                        ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-consumer                                        ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-consumer                                        ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-consumer                                        task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-consumer                                        task-process-log          1m           10m          6Mi          60Mi        
api                            ts-consumer                                        ts-shoppingcart-log       2m           20m          6Mi          60Mi        
api                            ts-consumer-primary                                app                       1            4            2200Mi       2200Mi      
api                            ts-consumer-primary                                ts-app-container-log      1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                ts-third-party-log        20m          60m          15Mi         60Mi        
api                            ts-consumer-primary                                ts-access-log             2m           20m          6Mi          60Mi        
api                            ts-consumer-primary                                ts-all-json-log           1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                ts-push-notifications-log 1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                ts-tasks-log              1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                task-launch-log           1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                task-process-log          1m           10m          6Mi          60Mi        
api                            ts-consumer-primary                                ts-shoppingcart-log       2m           20m          6Mi          60Mi        
api                            ts-primary                                         app                       1            2            2700Mi       2700Mi      
api                            ts-primary                                         ts-app-container-log      1m           10m          6Mi          60Mi        
